,id,name,city,experience,type,address,published_at,archived,employer,contacts,schedule,employer_trusted,professional_roles
0,54287190,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-29T14:02:16+0300,False,Sulpak,,fullDay,True,Аналитик
1,54374204,Аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T11:20:50+0300,False,inDriver,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
2,54452272,Стажёр Бизнес-аналитик / Системный аналитик,Алматы,Нет опыта,Открытая,,2022-03-30T11:35:05+0300,False,ASPEX,,fullDay,True,Аналитик
3,54473159,Аналитик Баз Данных / Специалист Power BI,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T05:56:56+0300,False,АО «Bank Freedom Finance Kazakhstan»,,fullDay,True,Аналитик
4,54223098,Аналитик данных (бренд аналитик),Алматы,От 3 до 6 лет,Открытая,,2022-03-31T18:52:20+0300,False,Evolution Technologies,,fullDay,True,Другое
5,54490911,Аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-31T14:45:00+0300,False,Центр электронных финансов,,fullDay,True,Аналитик
6,54445965,Системный аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-30T09:17:31+0300,False,Центр анализа и расследования кибер атак,,fullDay,True,Аналитик
7,54474982,Финансовый аналитик в г. Шымкент (Аналитик продаж),Шымкент,От 1 года до 3 лет,Открытая,,2022-03-31T08:08:39+0300,False,Галерея,,fullDay,True,Бухгалтер
8,54477505,Data Analyst (Развёртывание BigData),Алматы,От 3 до 6 лет,Открытая,,2022-03-31T09:32:34+0300,False,Spark Logistics,,fullDay,True,Аналитик
9,54443143,Аналитик Управления контроля качества и анализа данных,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T07:44:08+0300,False,Публичная Компания «Freedom Finance Global PLC»,,fullDay,True,Аналитик
10,54466205,Аналитик SAS,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T16:47:37+0300,False,"Банк Хоум Кредит, ДБ АО",,fullDay,True,Аналитик
11,54474780,Аналитик,Алматы,Нет опыта,Открытая,,2022-03-31T07:55:47+0300,False,К1М,,fullDay,True,Аналитик
12,54426782,Аналитик данных / Junior Data Analyst,Алматы,Нет опыта,Открытая,,2022-03-29T14:53:27+0300,False,BP Contact,,fullDay,True,Аналитик
13,54474207,Бизнес-аналитик со знанием SQL,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T07:25:31+0300,False,Prime Source,,fullDay,True,Аналитик
14,54473877,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T07:01:42+0300,False,Коллекторское агентство Национальная служба взыскания,,fullDay,True,Аналитик
15,54475126,Системный аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T08:14:32+0300,False,АНКОР Центральная Азия,,fullDay,True,Аналитик
16,54453433,Data analyst,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T11:55:34+0300,False,Микрокредитная организация I-Credit,,fullDay,True,Аналитик
17,54473702,Финансовый аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T06:45:49+0300,False,JTI Kazakhstan,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
18,54487745,Аналитик отдела продаж,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T13:22:36+0300,False,Henkel Central Asia & Caucasus,,fullDay,True,Аналитик
19,54503015,Аналитик-маркетолог,Нур-Султан,От 3 до 6 лет,Открытая,,2022-04-01T07:20:30+0300,False,HR Consult,,fullDay,True,Аналитик
20,53994230,Аналитик POWER BI,Алматы,От 3 до 6 лет,Открытая,,2022-03-29T14:31:16+0300,False,Югентас Транс Сервис,,fullDay,True,Аналитик
21,53668347,Аналитик CRM,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T10:54:16+0300,False,Новое групп,,fullDay,True,Аналитик
22,51165363,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T06:12:46+0300,False,Сәтті Жұлдыз,,fullDay,True,Аналитик
23,53956763,Крипто-аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-31T22:24:01+0300,False,Центр Обработки Данных,,remote,True,Аналитик
24,54423970,Data Analyst,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-29T13:53:11+0300,False,Prime Source,,fullDay,True,Аналитик
25,54426884,Системный аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-29T14:56:07+0300,False,Тинькофф,,remote,True,Аналитик
26,53870861,Аналитик продаж,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T12:24:18+0300,False,Alhadaya,,fullDay,True,Аналитик
27,54475232,Бизнес-аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-31T08:21:32+0300,False,Samal Software,,fullDay,True,Аналитик
28,53316837,Системный аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-29T12:05:55+0300,False,Халык-Лизинг,,fullDay,True,Аналитик
29,54469597,Системный (бизнес) аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-30T18:57:49+0300,False,SmartEx Company,,fullDay,True,Аналитик
30,54412025,Ведущий Аналитик SQL в HR отдел,Алматы,От 1 года до 3 лет,Открытая,,2022-03-29T10:26:13+0300,False,"Банк Хоум Кредит, ДБ АО",,fullDay,True,Аналитик
31,54289907,Продуктовый Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-28T15:28:29+0300,False,Magnum E-commerce Kazakhstan,,fullDay,True,Аналитик
32,54457050,Системный аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-30T13:20:06+0300,False,Smart Electronics,,fullDay,True,Аналитик
33,54446640,Руководитель маркетинговой аналитики / web-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-30T09:35:01+0300,False,NetBet (НэтБэт),,fullDay,True,Другое
34,50265850,Аналитик по разработке продукта,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T14:38:05+0300,False,One technologies,,fullDay,True,Аналитик
35,54448742,Ревизор - аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T10:14:08+0300,False,MAGNUM,,fullDay,True,Бухгалтер
36,54485472,Младший аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T12:31:57+0300,False,МТС-ТОРГ,,fullDay,True,Аналитик
37,54487580,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T13:18:09+0300,False,TengizTransGroup (ТенгизТрансГрупп),,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
38,54318436,Главный аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-29T12:57:24+0300,False,Halyk Global Markets,,fullDay,True,Аналитик
39,54449388,Аналитик отдела продаж,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T10:29:28+0300,False,АЛИДИ,,fullDay,True,Аналитик
40,54354558,Ведущий специалист по аналитике,Алматы,От 1 года до 3 лет,Открытая,,2022-03-27T19:57:31+0300,False,"Beeline, ТМ",,fullDay,True,Аналитик
41,54416675,Аналитик-консультант 1С,Алматы,От 1 года до 3 лет,Открытая,,2022-03-29T11:37:13+0300,False,Джи Эф Си,,fullDay,True,Аналитик
42,54372732,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T11:02:33+0300,False,Hyundai Trans Kazakhstan,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
43,54320894,Консультант-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T13:49:37+0300,False,ICORE-Integration,,fullDay,True,Аналитик
44,54364928,Аналитик финансовой отчетности,Алматы,От 3 до 6 лет,Открытая,,2022-03-28T08:45:15+0300,False,PepsiCo Kazakhstan,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
45,54506940,Системный аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-04-01T10:02:41+0300,False,Исткомтранс,,fullDay,True,Аналитик
46,53214719,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T12:44:11+0300,False,ДБ Альфа-Банк,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
47,52993864,Аналитик по финансовому учету,Алматы,От 3 до 6 лет,Открытая,,2022-03-28T10:49:02+0300,False,Первый БИТ,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
48,54444673,Начинающий Продуктолог / Product manager / Product Analyst,Алматы,Нет опыта,Открытая,,2022-03-30T08:40:41+0300,False,ASPEX,,fullDay,True,Менеджер продукта
49,53365939,Аналитик отдела продаж,Алматы,От 1 года до 3 лет,Открытая,,2022-03-29T11:37:21+0300,False,STYNERGY,,fullDay,True,Аналитик
50,54422096,Аналитик 1С,Алматы,От 1 года до 3 лет,Открытая,,2022-03-29T13:23:12+0300,False,Джи Эф Си,,remote,True,Аналитик
51,52122811,Data аналитик/Риск-менеджер,Алматы,От 1 года до 3 лет,Открытая,,2022-03-28T14:20:17+0300,False,Банк ЦентрКредит,,fullDay,True,Аналитик
52,54480093,Контент-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T10:32:44+0300,False,RANKING.KZ (РЭНКИНГ.КЗ),,fullDay,True,Аналитик
53,53154966,Бизнес-аналитик,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-28T12:08:34+0300,False,AG TECH,,fullDay,True,Аналитик
54,54461710,IT аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-30T15:05:09+0300,False,IT Invest Group,,fullDay,True,Аналитик
55,53635185,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T15:06:10+0300,False,Baker Tilly Qazaqstan Advisory (Бейкер Тилли Казахстан Эдвайзори),,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
56,54376217,Финансовый аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T11:51:26+0300,False,IBCGROUP WORK AND STUDY,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
57,53613405,Аналитик по техноэкономическому моделированию,Рудный,Более 6 лет,Открытая,,2022-03-31T09:46:44+0300,False,ERG Service,,fullDay,True,Экономист
58,54304673,Стажер-аналитик,Нур-Султан,Нет опыта,Открытая,,2022-03-25T06:59:19+0300,False,Omega System Ltd,,remote,True,Аналитик
59,54289592,Аналитик (Data Science),Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T14:52:03+0300,False,"Kaspi Bank, АО",,fullDay,True,Аналитик
60,54273472,Бизнес-аналитик,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-24T09:25:52+0300,False,"МЕЧТА, ТМ (Мечта Маркет, ТОО)",,fullDay,True,Аналитик
61,54281914,Бизнес-аналитик,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-24T12:08:45+0300,False,SilkwayTransit,,fullDay,True,Аналитик
62,53482841,Аналитик-товаровед,Алматы,От 3 до 6 лет,Открытая,,2022-03-29T11:47:42+0300,False,"Горецкий,(Магазин Швейная Фурнитура)",,fullDay,True,Товаровед
63,53369006,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T12:33:16+0300,False,Orbis Auto,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
64,54304751,Аналитик отдела продаж,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T07:04:57+0300,False,Apple City Corps,,fullDay,True,Аналитик
65,50759091,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T08:49:19+0300,False,Аврора Холдинг,,fullDay,True,Аналитик
66,54274569,Аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-24T09:47:35+0300,False,Селиванова У.В.,,fullDay,True,Аналитик
67,54443921,Аналитик по трейд маркетингу,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T08:17:55+0300,False,Раимбек Боттлерс ТМ,,fullDay,True,Менеджер по маркетингу и рекламе
68,51900600,Маркетолог-аналитик,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-30T14:46:56+0300,False,«Miraba Group»,,fullDay,True,Менеджер по маркетингу и рекламе
69,54316676,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T12:17:31+0300,False,Коллекторское агентство ЦПК,,fullDay,True,Аналитик
70,54270272,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T07:55:33+0300,False,Prime Source,,fullDay,True,Аналитик
71,54363348,Системный аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-28T08:12:36+0300,False,АСУ Кибернетика,,fullDay,True,Аналитик
72,54306462,Бизнес-аналитик в Digital,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T08:23:56+0300,False,Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),,fullDay,True,Аналитик
73,54502588,Финансовый аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-04-01T06:41:39+0300,False,ГК МАМЫР,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
74,54316856,Помощник аналитика,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T12:23:04+0300,False,ASTER AUTO,,fullDay,True,Аналитик
75,54304538,IT-аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-25T06:49:00+0300,False,Тамур,,fullDay,True,Аналитик
76,53363589,Логист-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T10:52:25+0300,False,CBC-GROUP (Группа компаний СВС),,fullDay,True,"Менеджер по логистике, менеджер по ВЭД"
77,54223117,Бренд-менеджер (бренд-аналитик),Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T18:54:13+0300,False,Evolution Technologies,,fullDay,True,Другое
78,54386585,Финансист-аналитик,Актау,От 1 года до 3 лет,Открытая,,2022-03-28T15:02:41+0300,False,Yasira Group,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
79,53908970,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T06:18:03+0300,False,Interoil-Marketing & Services Kazakhstan,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
80,54269644,Системный Аналитик,Алматы,Нет опыта,Открытая,,2022-03-24T07:29:42+0300,False,"Банк Хоум Кредит, ДБ АО",,fullDay,True,Аналитик
81,54332691,Teamlead отдела IT аналитики,Алматы,От 3 до 6 лет,Открытая,,2022-03-25T21:14:09+0300,False,Микрофинансовая организация KMF(КМФ),,fullDay,True,Аналитик
82,54316535,Менеджер аналитик,Шымкент,От 1 года до 3 лет,Открытая,,2022-03-28T13:40:41+0300,False,ATAMIRAS.S,,fullDay,True,Фармацевт-провизор
83,54288151,Старший аналитик Отдел кредитного анализа,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T14:19:42+0300,False,Народный банк Казахстана,,fullDay,True,Аудитор
84,51829663,Аналитик бизнес-процессов,Семей,От 3 до 6 лет,Открытая,,2022-03-24T06:19:35+0300,False,ЭЙКОС,,fullDay,True,Аналитик
85,54319332,Аналитик-маркетолог,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T13:17:29+0300,False,Биржевые технологии,,fullDay,True,Другое
86,54311764,Системный аналитик Colvir,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T10:38:42+0300,False,Народный банк Казахстана,,fullDay,True,Аналитик
87,53992646,Data-аналитик (Аналитик-технолог),Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-17T14:08:03+0300,False,РГП на ПХВ Инженерно-технический центр Управления Делами Президента Республики Казахстан,,fullDay,True,Аналитик
88,54088160,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-19T16:49:52+0300,False,Жакиева А.А,,flexible,True,Аналитик
89,54024636,Бизнес-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-18T07:29:13+0300,False,ASTER AUTO,,fullDay,True,Аналитик
90,53992565,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-17T14:06:21+0300,False,Тамерлан Моторс,,fullDay,True,Аналитик
91,54031248,Системный аналитик/PM,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-18T10:02:17+0300,False,Рэбэл,,fullDay,True,Аналитик
92,53822497,Аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-14T15:00:47+0300,False,Smart Remont,,fullDay,True,Аналитик
93,53998384,Бизнес-аналитик,Павлодар,От 1 года до 3 лет,Открытая,,2022-03-17T15:41:07+0300,False,Тамерлан Моторс,,fullDay,True,Аналитик
94,54026786,Аналитик/data-журналист,Алматы,От 3 до 6 лет,Открытая,,2022-03-18T08:35:09+0300,False,Первое Кредитное бюро,,fullDay,True,Другое
95,54034139,Аналитик подразделения Коммерческих Финансов,Алматы,От 1 года до 3 лет,Открытая,,2022-03-18T10:46:55+0300,False,JTI Kazakhstan,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
96,51188567,Бизнес-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-16T14:13:48+0300,False,Globerce Inc.,,fullDay,True,Аналитик
97,54270310,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T07:58:32+0300,False,Евразийское коллекторское агентство,,fullDay,True,Аналитик
98,53878838,Аналитик данных,Алматы,От 1 года до 3 лет,Открытая,,2022-03-15T14:24:32+0300,False,"Евразийский банк, АО",,fullDay,True,Аналитик
99,53816255,Бизнес-Аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-14T13:24:50+0300,False,АО «Bank Freedom Finance Kazakhstan»,,fullDay,True,Аналитик
100,53812247,Middle BI-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-14T12:34:52+0300,False,ASPEX,,remote,True,Аналитик
101,54094469,Data Analyst Службы вознаграждения и оргэффективности,Алматы,От 1 года до 3 лет,Открытая,,2022-03-19T21:51:46+0300,False,Казахтелеком,,fullDay,True,Аналитик
102,53791882,Аналитик Power BI,Алматы,От 1 года до 3 лет,Открытая,,2022-03-14T07:40:49+0300,False,«ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»,,fullDay,True,Аналитик
103,53983327,Финансовый бизнес аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-17T11:40:03+0300,False,VILED GROUP,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
104,53870928,Менеджер-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-15T12:26:22+0300,False,КазТур,,fullDay,True,Бухгалтер
105,53791096,Бизнес - аналитик (junior),Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-14T07:16:13+0300,False,Prime Source,,fullDay,True,Аналитик
106,50939879,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-12T15:39:15+0300,False,СберРешения,,fullDay,True,Аналитик
107,53910921,Бизнес-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-16T07:25:17+0300,False,Business Applications Solutions,,fullDay,True,"Продавец-консультант, продавец-кассир"
108,47438202,Бизнес-аналитик,Алматы,Более 6 лет,Открытая,,2022-03-14T07:04:35+0300,False,ДБ Альфа-Банк,,fullDay,True,Аналитик
109,53626998,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-10T13:02:21+0300,False,Абди Ибрахим Глобал Фарм,,fullDay,True,Аналитик
110,53997236,"Аналитик бизнес процессов, kpi",Актобе,От 3 до 6 лет,Открытая,,2022-03-17T15:20:13+0300,False,DENTAL CENTRE,,fullDay,True,Аналитик
111,52462402,Аналитик по инновациям,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-16T06:44:00+0300,False,ERG Service,,fullDay,True,Аналитик
112,53689978,Бизнес-аналитик,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-11T13:46:16+0300,False,Prime Source,,flexible,True,Аналитик
113,53693619,Ведущий аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-11T14:45:13+0300,False,"Beeline, ТМ",,fullDay,True,Аналитик
114,53680887,Аналитик данных,Алматы,От 1 года до 3 лет,Открытая,,2022-03-11T11:39:43+0300,False,Astana-Plat,,fullDay,True,Аналитик
115,54261086,System Analyst,Алматы,От 1 года до 3 лет,Открытая,,2022-03-23T17:53:32+0300,False,Playrix,,fullDay,True,Аналитик
116,53857172,Бизнес-аналитик (маркетолог),Алматы,От 1 года до 3 лет,Открытая,,2022-03-15T08:52:30+0300,False,Алси,,fullDay,True,Менеджер по маркетингу и рекламе
117,54272047,Финансовый аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T08:50:57+0300,False,Масло-Дел,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
